name,address,city,zipcode,phone,description,logo_url,user_id,hours,longitude,latitude
Thirsty Dog Brewing Company,529 Grant St Ste 103,Akron,44311-1184,3302522739,,,,,-81.51788487,41.0698532
Three Points Urban Brewery,331 E 13th St,Cincinnati,45202-7307,5135555555,,,,,-84.509442,39.11009082
Three Tigers Brewing Company,140 N Prospect St,Granville,43023-1337,7409204680,,,,,-82.51826713,40.06839886
Toxic Brew Company,431 E 5th St,Dayton,45402-2911,9379853618,,,,,-84.1843655,39.75724887
Trek Brewing,1486 Granville Rd,Newark,43055-1538,,,,,,-82.45564409,40.05722817
TwentyNine Brewpub,1775 Marion-Waldo Rd,Marion,43302,7407514586,,,,,-83.1163533,40.55509204
Twin Oast Brewing,3630 NE Catawba Rd,Catawba Island,43452,4195736126,,,,,-82.832581,41.578044
Two Bandits Brewing Company,106 E High St,Hicksville,43526,4195421087,,,,,-84.76170108,41.29361163
Two Monks Brewing Company,352 Massillon Rd,Akron,44312-2021,2347382337,,,,,-81.46292368,41.05205025
Uniontown Brewing Co.,105 W Main St,Ashland,44805-2221,4199088542,,,,,-82.31638932,40.8686238
Upside Brewing,5692 N Main St,Sylvania,43560-1928,4198826061,,,,,,
Urban Artifact,1660 Blue Rock St,Cincinnati,45223-2554,,,,,,-84.54196282,39.1607827
Valley Vineyards Winery & Cellar Dweller Brewing,2276 E US Highway 22 and 3,Morrow,45152-9414,5138992485,,,,,,
Veteran Brewhouse,829 CR 801,Ashland,44805,4196064014,,,,,,
Virant Family Winery / Black Angus Brewery,541 Atkins Rd,Geneva,44041,4404666279,,,,,,
Wadsworth Brewing Company,126 Main St,Wadsworth,44281-1432,3304754935,,,,,-81.72980288,41.02478661
Wandering Griffin,,Beavercreek,45324-9095,9379565216,,,,,,
Warped Wing Brewing Co,26 Wyandot St,Dayton,45402-2145,9372227003,,,,,,
Weasel Boy Brewing Co  LLC,126 Muskingum Ave Unit E,Zanesville,43701-4921,7404553767,,,,,,
West East Brewing Co,4125 Lorain Ave,Cleveland,44113-3718,2162021386,,,,,-81.7140045,41.4799605
West Side Brewing,3044 Harrison Ave,Cincinnati,45211-5752,5136612337,,,,,-84.598433,39.14890246
White Shutter Winery and Brewery,3794 County Hwy 56,Nevada,44849,4198352900,,,,,,
"Wiedemann Brewing Co, LLC",4811 Vine St,Cincinnati,45217-1217,5138009560,,,,,-84.4746169,39.2072785
Wild Side Brewing Company,24194 Front St,Grand Rapids,43522,4193892776,,,,,-83.86731385,41.41253259
Willoughby Brewing Co,4057 Erie St,Willoughby,44094-7804,4409750202,,,,,-81.40548972,41.64152155
Wolf's Ridge Brewing,215 N 4th St,Columbus,43215-2510,6144293936,,,,,-82.99517953,39.9577586
Wooly Pig Farm Brewery,23631 Township Road 167,Fresno,43824-9704,7406935050,,,,,-81.73572372,40.2914144
Working Class Brewery,17448 Lorain Ave,Cleveland,44111-4028,2164175112,,,,,-81.820461,41.44993
Y Bridge Brewing Company,1417 Linden Ave,Zanesville,43701,7408684265,,,,,-82.00422961,39.95603429
Yellow Springs Brewery,305 N Walnut St Ste B,Yellow Springs,45387-2059,9377670222,,,,,,
Zaftig Brewing Co.,7020 Huntley Rd Ste A,Columbus,43229-1050,6146362537,,,,,-83.0003532,40.1063329
